id,cert,source_category,dimension,degree,f_poly,primary_constant,source
1848,C_scouting,CMF Hunter,3,8,x**4*z**4 + 18*x**4*z**3 + 119*x**4*z**2 + 342*x**4*z + 360*x**4 + 4*x**3*y*z**4 + 72*x**3*y*z**3 + 476*x**3*y*z**2 + 1368*x**3*y*z + 1440*x**3*y + 2*x**3*z**4 + 36*x**3*z**3 + 238*x**3*z**2 + 684*x**3*z + 720*x**3 + 6*x**2*y**2*z**4 + 108*x**2*y**2*z**3 + 714*x**2*y**2*z**2 + 2052*x**2*y**2*z + 2160*x**2*y**2 + 6*x**2*y*z**4 + 108*x**2*y*z**3 + 714*x**2*y*z**2 + 2052*x**2*y*z + 2160*x**2*y - x**2*z**4 - 18*x**2*z**3 - 119*x**2*z**2 - 342*x**2*z - 360*x**2 + 4*x*y**3*z**4 + 72*x*y**3*z**3 + 476*x*y**3*z**2 + 1368*x*y**3*z + 1440*x*y**3 + 6*x*y**2*z**4 + 108*x*y**2*z**3 + 714*x*y**2*z**2 + 2052*x*y**2*z + 2160*x*y**2 - 2*x*y*z**4 - 36*x*y*z**3 - 238*x*y*z**2 - 684*x*y*z - 720*x*y - 2*x*z**4 - 36*x*z**3 - 238*x*z**2 - 684*x*z - 720*x + y**4*z**4 + 18*y**4*z**3 + 119*y**4*z**2 + 342*y**4*z + 360*y**4 + 2*y**3*z**4 + 36*y**3*z**3 + 238*y**3*z**2 + 684*y**3*z + 720*y**3 - y**2*z**4 - 18*y**2*z**3 - 119*y**2*z**2 - 342*y**2*z - 360*y**2 - 2*y*z**4 - 36*y*z**3 - 238*y*z**2 - 684*y*z - 720*y,,ml_loop
1849,C_scouting,CMF Hunter,3,8,x**4*z**4 + 14*x**4*z**3 + 71*x**4*z**2 + 154*x**4*z + 120*x**4 + 4*x**3*y*z**4 + 56*x**3*y*z**3 + 284*x**3*y*z**2 + 616*x**3*y*z + 480*x**3*y + 2*x**3*z**4 + 28*x**3*z**3 + 142*x**3*z**2 + 308*x**3*z + 240*x**3 + 6*x**2*y**2*z**4 + 84*x**2*y**2*z**3 + 426*x**2*y**2*z**2 + 924*x**2*y**2*z + 720*x**2*y**2 + 6*x**2*y*z**4 + 84*x**2*y*z**3 + 426*x**2*y*z**2 + 924*x**2*y*z + 720*x**2*y - x**2*z**4 - 14*x**2*z**3 - 71*x**2*z**2 - 154*x**2*z - 120*x**2 + 4*x*y**3*z**4 + 56*x*y**3*z**3 + 284*x*y**3*z**2 + 616*x*y**3*z + 480*x*y**3 + 6*x*y**2*z**4 + 84*x*y**2*z**3 + 426*x*y**2*z**2 + 924*x*y**2*z + 720*x*y**2 - 2*x*y*z**4 - 28*x*y*z**3 - 142*x*y*z**2 - 308*x*y*z - 240*x*y - 2*x*z**4 - 28*x*z**3 - 142*x*z**2 - 308*x*z - 240*x + y**4*z**4 + 14*y**4*z**3 + 71*y**4*z**2 + 154*y**4*z + 120*y**4 + 2*y**3*z**4 + 28*y**3*z**3 + 142*y**3*z**2 + 308*y**3*z + 240*y**3 - y**2*z**4 - 14*y**2*z**3 - 71*y**2*z**2 - 154*y**2*z - 120*y**2 - 2*y*z**4 - 28*y*z**3 - 142*y*z**2 - 308*y*z - 240*y,,ml_loop
1850,C_scouting,CMF Hunter,3,6,x**6 + 6*x**5*y + 3*x**5*z + 6*x**5 + 15*x**4*y**2 + 15*x**4*y*z + 30*x**4*y + 3*x**4*z**2 + 15*x**4*z + 13*x**4 + 20*x**3*y**3 + 30*x**3*y**2*z + 60*x**3*y**2 + 12*x**3*y*z**2 + 60*x**3*y*z + 52*x**3*y + x**3*z**3 + 12*x**3*z**2 + 26*x**3*z + 12*x**3 + 15*x**2*y**4 + 30*x**2*y**3*z + 60*x**2*y**3 + 18*x**2*y**2*z**2 + 90*x**2*y**2*z + 78*x**2*y**2 + 3*x**2*y*z**3 + 36*x**2*y*z**2 + 78*x**2*y*z + 36*x**2*y + 3*x**2*z**3 + 15*x**2*z**2 + 18*x**2*z + 4*x**2 + 6*x*y**5 + 15*x*y**4*z + 30*x*y**4 + 12*x*y**3*z**2 + 60*x*y**3*z + 52*x*y**3 + 3*x*y**2*z**3 + 36*x*y**2*z**2 + 78*x*y**2*z + 36*x*y**2 + 6*x*y*z**3 + 30*x*y*z**2 + 36*x*y*z + 8*x*y + 2*x*z**3 + 6*x*z**2 + 4*x*z + y**6 + 3*y**5*z + 6*y**5 + 3*y**4*z**2 + 15*y**4*z + 13*y**4 + y**3*z**3 + 12*y**3*z**2 + 26*y**3*z + 12*y**3 + 3*y**2*z**3 + 15*y**2*z**2 + 18*y**2*z + 4*y**2 + 2*y*z**3 + 6*y*z**2 + 4*y*z,,ml_loop
1851,C_scouting,CMF Hunter,3,8,x**8 + 8*x**7*y + 4*x**7*z + 12*x**7 + 28*x**6*y**2 + 28*x**6*y*z + 84*x**6*y + 6*x**6*z**2 + 50*x**6*z + 42*x**6 + 56*x**5*y**3 + 84*x**5*y**2*z + 252*x**5*y**2 + 36*x**5*y*z**2 + 300*x**5*y*z + 252*x**5*y + 4*x**5*z**3 + 78*x**5*z**2 + 198*x**5*z + 70*x**4*y**4 + 140*x**4*y**3*z + 420*x**4*y**3 + 90*x**4*y**2*z**2 + 750*x**4*y**2*z + 630*x**4*y**2 + 20*x**4*y*z**3 + 390*x**4*y*z**2 + 990*x**4*y*z + x**4*z**4 + 54*x**4*z**3 + 341*x**4*z**2 + 164*x**4*z - 231*x**4 + 56*x**3*y**5 + 140*x**3*y**4*z + 420*x**3*y**4 + 120*x**3*y**3*z**2 + 1000*x**3*y**3*z + 840*x**3*y**3 + 40*x**3*y**2*z**3 + 780*x**3*y**2*z**2 + 1980*x**3*y**2*z + 4*x**3*y*z**4 + 216*x**3*y*z**3 + 1364*x**3*y*z**2 + 656*x**3*y*z - 924*x**3*y + 14*x**3*z**4 + 256*x**3*z**3 + 484*x**3*z**2 - 558*x**3*z - 252*x**3 + 28*x**2*y**6 + 84*x**2*y**5*z + 252*x**2*y**5 + 90*x**2*y**4*z**2 + 750*x**2*y**4*z + 630*x**2*y**4 + 40*x**2*y**3*z**3 + 780*x**2*y**3*z**2 + 1980*x**2*y**3*z + 6*x**2*y**2*z**4 + 324*x**2*y**2*z**3 + 2046*x**2*y**2*z**2 + 984*x**2*y**2*z - 1386*x**2*y**2 + 42*x**2*y*z**4 + 768*x**2*y*z**3 + 1452*x**2*y*z**2 - 1674*x**2*y*z - 756*x**2*y + 71*x**2*z**4 + 474*x**2*z**3 - 275*x**2*z**2 - 886*x**2*z + 188*x**2 + 8*x*y**7 + 28*x*y**6*z + 84*x*y**6 + 36*x*y**5*z**2 + 300*x*y**5*z + 252*x*y**5 + 20*x*y**4*z**3 + 390*x*y**4*z**2 + 990*x*y**4*z + 4*x*y**3*z**4 + 216*x*y**3*z**3 + 1364*x*y**3*z**2 + 656*x*y**3*z - 924*x*y**3 + 42*x*y**2*z**4 + 768*x*y**2*z**3 + 1452*x*y**2*z**2 - 1674*x*y**2*z - 756*x*y**2 + 142*x*y*z**4 + 948*x*y*z**3 - 550*x*y*z**2 - 1772*x*y*z + 376*x*y + 154*x*z**4 + 172*x*z**3 - 874*x*z**2 + 68*x*z + 240*x + y**8 + 4*y**7*z + 12*y**7 + 6*y**6*z**2 + 50*y**6*z + 42*y**6 + 4*y**5*z**3 + 78*y**5*z**2 + 198*y**5*z + y**4*z**4 + 54*y**4*z**3 + 341*y**4*z**2 + 164*y**4*z - 231*y**4 + 14*y**3*z**4 + 256*y**3*z**3 + 484*y**3*z**2 - 558*y**3*z - 252*y**3 + 71*y**2*z**4 + 474*y**2*z**3 - 275*y**2*z**2 - 886*y**2*z + 188*y**2 + 154*y*z**4 + 172*y*z**3 - 874*y*z**2 + 68*y*z + 240*y + 120*z**4 - 240*z**3 - 120*z**2 + 240*z,,ml_loop
1852,C_scouting,CMF Hunter,3,8,x**8 + 8*x**7*y + 4*x**7*z + 12*x**7 + 28*x**6*y**2 + 28*x**6*y*z + 84*x**6*y + 6*x**6*z**2 + 38*x**6*z + 54*x**6 + 56*x**5*y**3 + 84*x**5*y**2*z + 252*x**5*y**2 + 36*x**5*y*z**2 + 228*x**5*y*z + 324*x**5*y + 4*x**5*z**3 + 42*x**5*z**2 + 126*x**5*z + 108*x**5 + 70*x**4*y**4 + 140*x**4*y**3*z + 420*x**4*y**3 + 90*x**4*y**2*z**2 + 570*x**4*y**2*z + 810*x**4*y**2 + 20*x**4*y*z**3 + 210*x**4*y*z**2 + 630*x**4*y*z + 540*x**4*y + x**4*z**4 + 18*x**4*z**3 + 89*x**4*z**2 + 152*x**4*z + 69*x**4 + 56*x**3*y**5 + 140*x**3*y**4*z + 420*x**3*y**4 + 120*x**3*y**3*z**2 + 760*x**3*y**3*z + 1080*x**3*y**3 + 40*x**3*y**2*z**3 + 420*x**3*y**2*z**2 + 1260*x**3*y**2*z + 1080*x**3*y**2 + 4*x**3*y*z**4 + 72*x**3*y*z**3 + 356*x**3*y*z**2 + 608*x**3*y*z + 276*x**3*y + 2*x**3*z**4 + 16*x**3*z**3 + 28*x**3*z**2 - 30*x**3*z - 72*x**3 + 28*x**2*y**6 + 84*x**2*y**5*z + 252*x**2*y**5 + 90*x**2*y**4*z**2 + 570*x**2*y**4*z + 810*x**2*y**4 + 40*x**2*y**3*z**3 + 420*x**2*y**3*z**2 + 1260*x**2*y**3*z + 1080*x**2*y**3 + 6*x**2*y**2*z**4 + 108*x**2*y**2*z**3 + 534*x**2*y**2*z**2 + 912*x**2*y**2*z + 414*x**2*y**2 + 6*x**2*y*z**4 + 48*x**2*y*z**3 + 84*x**2*y*z**2 - 90*x**2*y*z - 216*x**2*y - x**2*z**4 - 18*x**2*z**3 - 95*x**2*z**2 - 190*x**2*z - 124*x**2 + 8*x*y**7 + 28*x*y**6*z + 84*x*y**6 + 36*x*y**5*z**2 + 228*x*y**5*z + 324*x*y**5 + 20*x*y**4*z**3 + 210*x*y**4*z**2 + 630*x*y**4*z + 540*x*y**4 + 4*x*y**3*z**4 + 72*x*y**3*z**3 + 356*x*y**3*z**2 + 608*x*y**3*z + 276*x*y**3 + 6*x*y**2*z**4 + 48*x*y**2*z**3 + 84*x*y**2*z**2 - 90*x*y**2*z - 216*x*y**2 - 2*x*y*z**4 - 36*x*y*z**3 - 190*x*y*z**2 - 380*x*y*z - 248*x*y - 2*x*z**4 - 20*x*z**3 - 70*x*z**2 - 100*x*z - 48*x + y**8 + 4*y**7*z + 12*y**7 + 6*y**6*z**2 + 38*y**6*z + 54*y**6 + 4*y**5*z**3 + 42*y**5*z**2 + 126*y**5*z + 108*y**5 + y**4*z**4 + 18*y**4*z**3 + 89*y**4*z**2 + 152*y**4*z + 69*y**4 + 2*y**3*z**4 + 16*y**3*z**3 + 28*y**3*z**2 - 30*y**3*z - 72*y**3 - y**2*z**4 - 18*y**2*z**3 - 95*y**2*z**2 - 190*y**2*z - 124*y**2 - 2*y*z**4 - 20*y*z**3 - 70*y*z**2 - 100*y*z - 48*y,,ml_loop
1853,C_scouting,CMF Hunter,3,6,x**6 + 6*x**5*y + 3*x**5*z - 3*x**5 + 15*x**4*y**2 + 15*x**4*y*z - 15*x**4*y + 3*x**4*z**2 - 3*x**4*z - 5*x**4 + 20*x**3*y**3 + 30*x**3*y**2*z - 30*x**3*y**2 + 12*x**3*y*z**2 - 12*x**3*y*z - 20*x**3*y + x**3*z**3 + 3*x**3*z**2 - 19*x**3*z + 15*x**3 + 15*x**2*y**4 + 30*x**2*y**3*z - 30*x**2*y**3 + 18*x**2*y**2*z**2 - 18*x**2*y**2*z - 30*x**2*y**2 + 3*x**2*y*z**3 + 9*x**2*y*z**2 - 57*x**2*y*z + 45*x**2*y + 3*x**2*z**3 - 12*x**2*z**2 + 9*x**2*z + 4*x**2 + 6*x*y**5 + 15*x*y**4*z - 15*x*y**4 + 12*x*y**3*z**2 - 12*x*y**3*z - 20*x*y**3 + 3*x*y**2*z**3 + 9*x*y**2*z**2 - 57*x*y**2*z + 45*x*y**2 + 6*x*y*z**3 - 24*x*y*z**2 + 18*x*y*z + 8*x*y + 2*x*z**3 - 12*x*z**2 + 22*x*z - 12*x + y**6 + 3*y**5*z - 3*y**5 + 3*y**4*z**2 - 3*y**4*z - 5*y**4 + y**3*z**3 + 3*y**3*z**2 - 19*y**3*z + 15*y**3 + 3*y**2*z**3 - 12*y**2*z**2 + 9*y**2*z + 4*y**2 + 2*y*z**3 - 12*y*z**2 + 22*y*z - 12*y,,ml_loop
1854,C_scouting,CMF Hunter,3,8,x**4*z**4 + 2*x**4*z**3 - x**4*z**2 - 2*x**4*z + 4*x**3*y*z**4 + 8*x**3*y*z**3 - 4*x**3*y*z**2 - 8*x**3*y*z + 4*x**3*z**5 + 6*x**3*z**4 - 8*x**3*z**3 - 6*x**3*z**2 + 4*x**3*z + 6*x**2*y**2*z**4 + 12*x**2*y**2*z**3 - 6*x**2*y**2*z**2 - 12*x**2*y**2*z + 12*x**2*y*z**5 + 18*x**2*y*z**4 - 24*x**2*y*z**3 - 18*x**2*y*z**2 + 12*x**2*y*z + 6*x**2*z**6 + 6*x**2*z**5 - 19*x**2*z**4 - 8*x**2*z**3 + 13*x**2*z**2 + 2*x**2*z + 4*x*y**3*z**4 + 8*x*y**3*z**3 - 4*x*y**3*z**2 - 8*x*y**3*z + 12*x*y**2*z**5 + 18*x*y**2*z**4 - 24*x*y**2*z**3 - 18*x*y**2*z**2 + 12*x*y**2*z + 12*x*y*z**6 + 12*x*y*z**5 - 38*x*y*z**4 - 16*x*y*z**3 + 26*x*y*z**2 + 4*x*y*z + 4*x*z**7 + 2*x*z**6 - 18*x*z**5 - 4*x*z**4 + 18*x*z**3 + 2*x*z**2 - 4*x*z + y**4*z**4 + 2*y**4*z**3 - y**4*z**2 - 2*y**4*z + 4*y**3*z**5 + 6*y**3*z**4 - 8*y**3*z**3 - 6*y**3*z**2 + 4*y**3*z + 6*y**2*z**6 + 6*y**2*z**5 - 19*y**2*z**4 - 8*y**2*z**3 + 13*y**2*z**2 + 2*y**2*z + 4*y*z**7 + 2*y*z**6 - 18*y*z**5 - 4*y*z**4 + 18*y*z**3 + 2*y*z**2 - 4*y*z + z**8 - 6*z**6 + 9*z**4 - 4*z**2,,ml_loop
1855,C_scouting,CMF Hunter,3,8,x**8 + 8*x**7*y + 4*x**7*z + 28*x**6*y**2 + 28*x**6*y*z + 6*x**6*z**2 - 2*x**6*z - 6*x**6 + 56*x**5*y**3 + 84*x**5*y**2*z + 36*x**5*y*z**2 - 12*x**5*y*z - 36*x**5*y + 4*x**5*z**3 - 6*x**5*z**2 - 18*x**5*z + 70*x**4*y**4 + 140*x**4*y**3*z + 90*x**4*y**2*z**2 - 30*x**4*y**2*z - 90*x**4*y**2 + 20*x**4*y*z**3 - 30*x**4*y*z**2 - 90*x**4*y*z + x**4*z**4 - 6*x**4*z**3 - 19*x**4*z**2 + 4*x**4*z + 9*x**4 + 56*x**3*y**5 + 140*x**3*y**4*z + 120*x**3*y**3*z**2 - 40*x**3*y**3*z - 120*x**3*y**3 + 40*x**3*y**2*z**3 - 60*x**3*y**2*z**2 - 180*x**3*y**2*z + 4*x**3*y*z**4 - 24*x**3*y*z**3 - 76*x**3*y*z**2 + 16*x**3*y*z + 36*x**3*y - 2*x**3*z**4 - 8*x**3*z**3 + 8*x**3*z**2 + 18*x**3*z + 28*x**2*y**6 + 84*x**2*y**5*z + 90*x**2*y**4*z**2 - 30*x**2*y**4*z - 90*x**2*y**4 + 40*x**2*y**3*z**3 - 60*x**2*y**3*z**2 - 180*x**2*y**3*z + 6*x**2*y**2*z**4 - 36*x**2*y**2*z**3 - 114*x**2*y**2*z**2 + 24*x**2*y**2*z + 54*x**2*y**2 - 6*x**2*y*z**4 - 24*x**2*y*z**3 + 24*x**2*y*z**2 + 54*x**2*y*z - x**2*z**4 + 6*x**2*z**3 + 13*x**2*z**2 - 2*x**2*z - 4*x**2 + 8*x*y**7 + 28*x*y**6*z + 36*x*y**5*z**2 - 12*x*y**5*z - 36*x*y**5 + 20*x*y**4*z**3 - 30*x*y**4*z**2 - 90*x*y**4*z + 4*x*y**3*z**4 - 24*x*y**3*z**3 - 76*x*y**3*z**2 + 16*x*y**3*z + 36*x*y**3 - 6*x*y**2*z**4 - 24*x*y**2*z**3 + 24*x*y**2*z**2 + 54*x*y**2*z - 2*x*y*z**4 + 12*x*y*z**3 + 26*x*y*z**2 - 4*x*y*z - 8*x*y + 2*x*z**4 + 4*x*z**3 - 2*x*z**2 - 4*x*z + y**8 + 4*y**7*z + 6*y**6*z**2 - 2*y**6*z - 6*y**6 + 4*y**5*z**3 - 6*y**5*z**2 - 18*y**5*z + y**4*z**4 - 6*y**4*z**3 - 19*y**4*z**2 + 4*y**4*z + 9*y**4 - 2*y**3*z**4 - 8*y**3*z**3 + 8*y**3*z**2 + 18*y**3*z - y**2*z**4 + 6*y**2*z**3 + 13*y**2*z**2 - 2*y**2*z - 4*y**2 + 2*y*z**4 + 4*y*z**3 - 2*y*z**2 - 4*y*z,,ml_loop
1856,C_scouting,CMF Hunter,3,8,x**4*z**4 + 10*x**4*z**3 + 35*x**4*z**2 + 50*x**4*z + 24*x**4 + 4*x**3*y*z**4 + 40*x**3*y*z**3 + 140*x**3*y*z**2 + 200*x**3*y*z + 96*x**3*y + 4*x**3*z**5 + 34*x**3*z**4 + 80*x**3*z**3 - 10*x**3*z**2 - 204*x**3*z - 144*x**3 + 6*x**2*y**2*z**4 + 60*x**2*y**2*z**3 + 210*x**2*y**2*z**2 + 300*x**2*y**2*z + 144*x**2*y**2 + 12*x**2*y*z**5 + 102*x**2*y*z**4 + 240*x**2*y*z**3 - 30*x**2*y*z**2 - 612*x**2*y*z - 432*x**2*y + 6*x**2*z**6 + 42*x**2*z**5 + 41*x**2*z**4 - 220*x**2*z**3 - 371*x**2*z**2 + 118*x**2*z + 264*x**2 + 4*x*y**3*z**4 + 40*x*y**3*z**3 + 140*x*y**3*z**2 + 200*x*y**3*z + 96*x*y**3 + 12*x*y**2*z**5 + 102*x*y**2*z**4 + 240*x*y**2*z**3 - 30*x*y**2*z**2 - 612*x*y**2*z - 432*x*y**2 + 12*x*y*z**6 + 84*x*y*z**5 + 82*x*y*z**4 - 440*x*y*z**3 - 742*x*y*z**2 + 236*x*y*z + 528*x*y + 4*x*z**7 + 22*x*z**6 - 18*x*z**5 - 216*x*z**4 - 94*x*z**3 + 458*x*z**2 + 228*x*z - 144*x + y**4*z**4 + 10*y**4*z**3 + 35*y**4*z**2 + 50*y**4*z + 24*y**4 + 4*y**3*z**5 + 34*y**3*z**4 + 80*y**3*z**3 - 10*y**3*z**2 - 204*y**3*z - 144*y**3 + 6*y**2*z**6 + 42*y**2*z**5 + 41*y**2*z**4 - 220*y**2*z**3 - 371*y**2*z**2 + 118*y**2*z + 264*y**2 + 4*y*z**7 + 22*y*z**6 - 18*y*z**5 - 216*y*z**4 - 94*y*z**3 + 458*y*z**2 + 228*y*z - 144*y + z**8 + 4*z**7 - 14*z**6 - 56*z**5 + 49*z**4 + 196*z**3 - 36*z**2 - 144*z,,ml_loop
1857,C_scouting,CMF Hunter,3,8,x**4*z**4 + 14*x**4*z**3 + 71*x**4*z**2 + 154*x**4*z + 120*x**4 + 4*x**3*y*z**4 + 56*x**3*y*z**3 + 284*x**3*y*z**2 + 616*x**3*y*z + 480*x**3*y + 4*x**3*z**5 + 50*x**3*z**4 + 200*x**3*z**3 + 190*x**3*z**2 - 444*x**3*z - 720*x**3 + 6*x**2*y**2*z**4 + 84*x**2*y**2*z**3 + 426*x**2*y**2*z**2 + 924*x**2*y**2*z + 720*x**2*y**2 + 12*x**2*y*z**5 + 150*x**2*y*z**4 + 600*x**2*y*z**3 + 570*x**2*y*z**2 - 1332*x**2*y*z - 2160*x**2*y + 6*x**2*z**6 + 66*x**2*z**5 + 185*x**2*z**4 - 200*x**2*z**3 - 1271*x**2*z**2 - 466*x**2*z + 1320*x**2 + 4*x*y**3*z**4 + 56*x*y**3*z**3 + 284*x*y**3*z**2 + 616*x*y**3*z + 480*x*y**3 + 12*x*y**2*z**5 + 150*x*y**2*z**4 + 600*x*y**2*z**3 + 570*x*y**2*z**2 - 1332*x*y**2*z - 2160*x*y**2 + 12*x*y*z**6 + 132*x*y*z**5 + 370*x*y*z**4 - 400*x*y*z**3 - 2542*x*y*z**2 - 932*x*y*z + 2640*x*y + 4*x*z**7 + 38*x*z**6 + 54*x*z**5 - 360*x*z**4 - 814*x*z**3 + 802*x*z**2 + 1716*x*z - 720*x + y**4*z**4 + 14*y**4*z**3 + 71*y**4*z**2 + 154*y**4*z + 120*y**4 + 4*y**3*z**5 + 50*y**3*z**4 + 200*y**3*z**3 + 190*y**3*z**2 - 444*y**3*z - 720*y**3 + 6*y**2*z**6 + 66*y**2*z**5 + 185*y**2*z**4 - 200*y**2*z**3 - 1271*y**2*z**2 - 466*y**2*z + 1320*y**2 + 4*y*z**7 + 38*y*z**6 + 54*y*z**5 - 360*y*z**4 - 814*y*z**3 + 802*y*z**2 + 1716*y*z - 720*y + z**8 + 8*z**7 - 2*z**6 - 124*z**5 - 107*z**4 + 548*z**3 + 396*z**2 - 720*z,,ml_loop
